"","word","sentiment","n"
"1","thank","positive",603
"2","delayed","negative",545
"3","great","positive",336
"4","delay","negative",301
"5","good","positive",298
"6","love","positive",245
"7","lost","negative",243
"8","worst","negative",240
"9","problems","negative",201
"10","best","positive",191
"11","bad","negative",186
"12","better","positive",183
"13","stuck","negative",171
"14","miss","negative",160
"15","issue","negative",153
"16","delays","negative",149
"17","refund","positive",147
"18","rude","negative",137
"19","nice","positive",135
"20","missed","negative",134
"21","awesome","positive",124
"22","issues","negative",123
"23","appreciate","positive",115
"24","available","positive",109
"25","problem","negative",109
"26","helpful","positive",102
"27","sorry","negative",102
"28","terrible","negative",102
"29","disappointed","negative",101
"30","fail","negative",99
"31","amazing","positive",98
"32","happy","positive",91
"33","hung","negative",89
"34","ridiculous","negative",88
"35","unacceptable","negative",88
"36","poor","negative",87
"37","horrible","negative",84
"38","wrong","negative",76
"39","frustrated","negative",70
"40","broken","negative",68
"41","cool","positive",64
"42","worse","negative",62
"43","awful","negative",60
"44","hard","negative",58
"45","frustrating","negative",57
"46","lack","negative",57
"47","sucks","negative",56
"48","loyal","positive",52
"49","glad","positive",51
"50","joke","negative",50
"51","error","negative",49
"52","suck","negative",48
"53","complaint","negative",47
"54","wow","positive",46
"55","lose","negative",45
"56","award","positive",44
"57","helping","positive",43
"58","pretty","positive",43
"59","appreciated","positive",41
"60","correct","positive",41
"61","fault","negative",41
"62","super","positive",41
"63","ready","positive",40
"64","support","positive",40
"65","upset","negative",39
"66","easy","positive",38
"67","hate","negative",38
"68","sad","negative",38
"69","top","positive",38
"70","luck","positive",36
"71","cold","negative",35
"72","helped","positive",35
"73","losing","negative",35
"74","fun","positive",34
"75","crazy","negative",33
"76","friendly","positive",33
"77","shit","negative",33
"78","gold","positive",32
"79","unable","negative",32
"80","unfortunately","negative",32
"81","inconvenience","negative",31
"82","works","positive",31
"83","hang","negative",30
"84","kudos","positive",30
"85","wonderful","positive",29
"86","worth","positive",29
"87","excellent","positive",28
"88","excited","positive",27
"89","worries","negative",27
"90","complaints","negative",26
"91","failed","negative",26
"92","mess","negative",26
"93","trouble","negative",26
"94","worked","positive",26
"95","bumped","negative",25
"96","hangs","negative",25
"97","ruined","negative",25
"98","warm","positive",25
"99","safe","positive",24
"100","useless","negative",24
"101","bs","negative",23
"102","failure","negative",23
"103","tired","negative",23
"104","unhappy","negative",23
"105","unhelpful","negative",23
"106","win","positive",23
"107","concern","negative",22
"108","damn","negative",22
"109","fucking","negative",22
"110","impressed","positive",22
"111","screwed","negative",22
"112","angry","negative",21
"113","clear","positive",21
"114","enjoy","positive",21
"115","excuse","negative",21
"116","funny","negative",21
"117","hell","negative",21
"118","mistake","negative",21
"119","nightmare","negative",21
"120","pathetic","negative",21
"121","willing","positive",21
"122","bother","negative",20
"123","broke","negative",20
"124","denied","negative",20
"125","fantastic","positive",20
"126","favorite","positive",20
"127","premier","positive",20
"128","refused","negative",20
"129","sick","negative",20
"130","slow","negative",20
"131","unbelievable","negative",20
"132","wasted","negative",20
"133","clearly","positive",19
"134","fair","positive",19
"135","fuck","negative",19
"136","important","positive",19
"137","impossible","negative",19
"138","lie","negative",19
"139","lies","negative",19
"140","loved","positive",19
"141","lovely","positive",19
"142","refunded","positive",19
"143","trust","positive",19
"144","upgraded","positive",19
"145","waste","negative",19
"146","wonder","positive",19
"147","disappointing","negative",18
"148","emergency","negative",18
"149","expensive","negative",18
"150","expired","negative",18
"151","fast","positive",18
"152","freezing","negative",18
"153","mad","negative",18
"154","refuse","negative",18
"155","ugh","negative",18
"156","welcome","positive",18
"157","cheap","negative",17
"158","honor","positive",17
"159","incompetence","negative",17
"160","incompetent","negative",17
"161","patience","positive",17
"162","patient","positive",17
"163","promised","positive",17
"164","break","negative",16
"165","damaged","negative",16
"166","disgusting","negative",16
"167","faster","positive",16
"168","hot","positive",16
"169","incredibly","positive",16
"170","redeem","positive",16
"171","ruining","negative",16
"172","safely","positive",16
"173","sweet","positive",16
"174","worry","negative",16
"175","advantage","positive",15
"176","disaster","negative",15
"177","honest","positive",15
"178","perfect","positive",15
"179","pleasant","positive",15
"180","promise","positive",15
"181","shame","negative",15
"182","beautiful","positive",14
"183","blame","negative",14
"184","clean","positive",14
"185","crappy","negative",14
"186","death","negative",14
"187","delaying","negative",14
"188","elite","positive",14
"189","improve","positive",14
"190","killing","negative",14
"191","messed","negative",14
"192","prompt","positive",14
"193","wasting","negative",14
"194","absurd","negative",13
"195","annoying","negative",13
"196","complain","negative",13
"197","concerned","negative",13
"198","crap","negative",13
"199","dead","negative",13
"200","frozen","negative",13
"201","insane","negative",13
"202","outstanding","positive",13
"203","difficult","negative",12
"204","easier","positive",12
"205","errors","negative",12
"206","frustration","negative",12
"207","guarantee","positive",12
"208","lame","negative",12
"209","loyalty","positive",12
"210","properly","positive",12
"211","respect","positive",12
"212","reward","positive",12
